category_1,category_2,category_3,category_4,notes,category_id
Management Occupations,,,,,1110000
,Top Executives,,,,111000
,,Chief Executives,,,111010
,,,Chief Executives,,111011
,,General and Operations Managers,,,111020
,,,General and Operations Managers,,111021
,,Legislators,,,111030
,,,Legislators,,111031
,Advertising Marketing Promotions Public Relations and Sales Managers,,,,112000
,,Advertising and Promotions Managers,,,112010
,,,Advertising and Promotions Managers,,112011
,,Marketing and Sales Managers,,,112020
,,,Marketing Managers,,112021
,,,Sales Managers,,112022
,,Public Relations and Fundraising Managers,,,112030
,,,Public Relations and Fundraising Managers,,112031
,Operations Specialties Managers,,,,113000
,,Administrative Services Managers,,,113010
,,,Administrative Services Managers,,113011
,,Computer and Information Systems Managers,,,113020
,,,Computer and Information Systems Managers,,113021
,,Financial Managers,,,113030
,,,Financial Managers,,113031
,,Industrial Production Managers,,,113050
,,,Industrial Production Managers,,113051
,,Purchasing Managers,,,113060
,,,Purchasing Managers,,113061
,,Transportation Storage and Distribution Managers,,,113070
,,,Transportation Storage and Distribution Managers,,113071
,,Compensation and Benefits Managers,,,113110
,,,Compensation and Benefits Managers,,113111
,,Human Resources Managers,,,113120
,,,Human Resources Managers,,113121
,,Training and Development Managers,,,113130
,,,Training and Development Managers,,113131
,Other Management Occupations,,,,119000
,,Farmers Ranchers and Other Agricultural Managers,,,119010
,,,Farmers Ranchers and Other Agricultural Managers,,119013
,,Construction Managers,,,119020
,,,Construction Managers,,119021
,,Education Administrators,,,119030
,,,Education Administrators Preschool and Childcare Center Program,,119031
,,,Education Administrators Elementary and Secondary School,,119032
,,,Education Administrators Postsecondary,,119033
,,,Education Administrators All Other,,119039
,,Architectural and Engineering Managers,,,119040
,,,Architectural and Engineering Managers,,119041
,,Food Service Managers,,,119050
,,,Food Service Managers,,119051
,,Funeral Service Managers,,,119060
,,,Funeral Service Managers,,119061
,,Gaming Managers,,,119070
,,,Gaming Managers,,119071
,,Lodging Managers,,,119080
,,,Lodging Managers,,119081
,,Medical and Health Services Managers,,,119110
,,,Medical and Health Services Managers,,119111
,,Natural Sciences Managers,,,119120
,,,Natural Sciences Managers,,119121
,,Postmasters and Mail Superintendents,,,119130
,,,Postmasters and Mail Superintendents,,119131
,,Property Real Estate and Community Association Managers,,,119140
,,,Property Real Estate and Community Association Managers,,119141
,,Social and Community Service Managers,,,119150
,,,Social and Community Service Managers,,119151
,,Emergency Management Directors,,,119160
,,,Emergency Management Directors,,119161
,,Miscellaneous Managers,,,119190
,,,Managers All Other,,119199
Business and Financial Operations Occupations,,,,,130000
,Business Operations Specialists,,,,131000
,,Agents and Business Managers of Artists Performers and Athletes,,,131010
,,,Agents and Business Managers of Artists Performers and Athletes,,131011
,,Buyers and Purchasing Agents,,,131020
,,,Buyers and Purchasing Agents Farm Products,,131021
,,,Wholesale and Retail Buyers Except Farm Products,,131022
,,,Purchasing Agents Except Wholesale Retail and Farm Products,,131023
,,Claims Adjusters Appraisers Examiners and Investigators,,,131030
,,,Claims Adjusters Examiners and Investigators,,131031
,,,Insurance Appraisers Auto Damage,,131032
,,Compliance Officers,,,131040
,,,Compliance Officers,,131041
,,Cost Estimators,,,131050
,,,Cost Estimators,,131051
,,Human Resources Workers,,,131070
,,,Human Resources Specialists,,131071
,,,Farm Labor Contractors,,131074
